model,target,location,season,disease,horizon,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,wis_relative_skill,wis_scaled_relative_skill,pop,density,inpatient_beds,median_facilities,burden,wis_per100k,normalized_wis_dens,wis_hosp_capacity,wis_facilities,wis_burden,omega
Baseline,wk inc hosp,nc,2023-2024,Influenza,0,0.2566784029460198,0.09253130236845386,0.08738197721948583,0.0767651233580801,0.05,0.2413793103448276,0.7241379310344828,0.3323557997886633,1.248519990366028,1,10551162,216.99971703,20664.225490196077,107,6519,0.0024327027008591074,0.001182851325610412,1.2421389955689273e-5,0.0023988635789347645,3.9373892153094e-5,25.69672868299353
Baseline,wk inc hosp,nd,2023-2024,Influenza,0,0.2780714585878174,0.06193803068384854,0.14436297861069688,0.07177044929327198,-0.048620689655172404,0.3448275862068966,0.7241379310344828,0.43113126984482836,1.038536024854073,1,774948,11.231803902,1975.7745098039215,44,616,0.035882595811308295,0.02475750654249781,1.407404828881073e-4,0.00631980587699585,4.5141470549970355e-4,10.812027132950474
Baseline,wk inc hosp,ne,2023-2024,Influenza,0,0.2279431471537685,0.045206330856754004,0.09101763951536689,0.09171917678164761,0.01206896551724138,0.3448275862068966,0.8620689655172413,0.318718689810033,1.0485206322966785,1,1963692,25.56296437,4858.303921568628,92,1128,0.011607886937145363,0.008916929345693428,4.6918256007370414e-5,0.0024776429038453097,2.02077258115043e-4,12.874338844461796
Baseline,wk inc hosp,nh,2023-2024,Influenza,0,0.2523662706166023,0.07598954198907933,0.08911537696714565,0.08726135166037727,0.05689655172413795,0.3793103448275862,0.896551724137931,0.3839123716140418,0.9590334250522856,1,1388992,155.12950348,2542.1127450980393,26,659,0.018169022616156338,0.0016268102775764924,9.927422420710514e-5,0.009706395023715472,3.829533696761795e-4,12.740877712674958
Baseline,wk inc hosp,nj,2023-2024,Influenza,0,0.2406551530451068,0.06279048797887742,0.10383378106394908,0.07403088400228029,0.10068965517241381,0.10344827586206896,0.8275862068965517,0.3295057450562774,1.2425394645441628,1,9267130,1260.0290755,22275.18137254902,72,7135,0.002596868211033047,1.9099174592428426e-4,1.0803734839244895e-5,0.003342432681182039,3.372882313175989e-5,23.934909107673196
Baseline,wk inc hosp,nm,2023-2024,Influenza,0,0.27266380922033845,0.0703303165438931,0.0960539093655357,0.10627958331090964,-0.004482758620689659,0.41379310344827586,0.8620689655172413,0.37460434174126134,1.0849802427475197,1,2115877,17.441507027,4221.901960784314,37,2079,0.01288656236729916,0.015633041846570158,6.45831693281871e-5,0.007369292141090228,1.3115142338640618e-4,15.214295731457616
Baseline,wk inc hosp,nv,2023-2024,Influenza,0,0.20942176848913566,0.05905952511766547,0.05174324566461389,0.0986189977068563,-0.05413793103448274,0.3793103448275862,0.9310344827586207,0.25843914666862955,1.1543072952310869,1,3143991,28.618062094,6934.112745098039,40,1626,0.006661016793277579,0.007317817950120479,3.0201667637605554e-5,0.005235544212228391,1.287956755775742e-4,16.73211287078027
Baseline,wk inc hosp,ny,2023-2024,Influenza,0,0.19092082422549125,0.047372175499977943,0.08112567140399454,0.06242297732151877,-0.08965517241379309,0.1724137931034483,0.8275862068965517,0.24944988242206032,1.177245085806154,1,19835913,420.93596008,45605.72549019608,158,15275,9.625008146864289e-4,4.53562637388372e-4,4.186334548422736e-6,0.0012083596469967801,1.249890829626784e-5,22.586325045614707
Baseline,wk inc hosp,oh,2023-2024,Influenza,0,0.2028501372007777,0.044558222082124566,0.09975386482210183,0.05853805029655131,-0.17517241379310342,0.2413793103448276,0.7586206896551724,0.2530585509619939,1.0982286549032834,1,11780017,288.30981725,27808.049019607843,177,9296,0.00172198509731164,7.035838707666405e-4,7.294655481143077e-6,0.0011460459728857499,2.1821228184248894e-5,21.527245829881636
Baseline,wk inc hosp,ok,2023-2024,Influenza,0,0.23670674213290638,0.0822427069976067,0.07013111873678293,0.08433291639851674,-0.12586206896551724,0.3448275862068966,0.8275862068965517,0.32148032903871976,1.1204185745810247,1,3986639,58.117159393,8553.882352941177,115,3989,0.005937501292013306,0.0040729234636580815,2.7672433681709087e-5,0.0020583194968078816,5.933987017621117e-5,18.769081249191366
Baseline,wk inc hosp,or,2023-2024,Influenza,0,0.225368248819169,0.06206001606216208,0.09472170460140793,0.068586528155599,0.01551724137931037,0.27586206896551724,0.896551724137931,0.29700494637024616,1.0857185902191377,1,4246155,44.232678273,6647.578431372549,58,1727,0.005307584127738366,0.005095062239465063,3.39023076065665e-5,0.0038856594623994656,1.3049695936257613e-4,11.809678309660788
Baseline,wk inc hosp,pa,2023-2024,Influenza,0,0.18526706770231097,0.06298957795408153,0.06912629014690029,0.053151199601329135,0.07310344827586207,0.20689655172413793,0.7241379310344828,0.24206175840926294,1.2190320061058921,1,12964056,289.74978553,30759.470588235297,172,9963,0.0014290825934592613,6.394036405011553e-4,6.0230902599855155e-6,0.0010771341145483196,1.8595510157815014e-5,18.163101414693173
Baseline,wk inc hosp,pr,2023-2024,Influenza,0,0.1311629489115898,0.04958372819015124,0.028033339204799508,0.053545881516639054,0.14310344827586208,0.5517241379310345,0.8275862068965517,0.19111699284995334,0.9499699395657493,1,NA,NA,8131.318627450981,54,2075,NA,NA,1.613058778299369e-5,0.002428943498362774,6.321105971642883e-5,NA
Baseline,wk inc hosp,ri,2023-2024,Influenza,0,0.28005983665257306,0.10165789034658333,0.1171154052495092,0.06128654105648052,0.08793103448275862,0.27586206896551724,0.7931034482758621,0.43743849651032646,1.0575918659356947,1,1095610,1059.6989939,2198.514705882353,11,504,0.0255620007714947,2.642824408296091e-4,1.273859282829649e-4,0.025459985150233913,5.556742790725655e-4,11.14931726355859
Baseline,wk inc hosp,sc,2023-2024,Influenza,0,0.21868798775387052,0.08104625533340122,0.09210732608660065,0.045534406333868654,0.030000000000000013,0.1724137931034483,0.6896551724137931,0.29159765000295274,1.2167641371212123,1,5190705,172.65344876,9969.985294117649,62,4258,0.004213069087029036,0.0012666297101186878,2.1934634937014173e-5,0.0035272256089333956,5.135932075008702e-5,25.863592943972602
Baseline,wk inc hosp,sd,2023-2024,Influenza,0,0.3007878765223039,0.10330672560634421,0.1077573166206365,0.08972383429532317,-0.11103448275862068,0.3103448275862069,0.7241379310344828,0.4928487961901467,1.051773298688699,1,895376,11.810848986,2207.563725490196,57,663,0.03359347095770982,0.025467083431414884,1.36253315385273e-4,0.005276980289864981,4.536770384951793e-4,13.282544801827589
Baseline,wk inc hosp,tn,2023-2024,Influenza,0,0.15390043336980988,0.05332076697065988,0.048633245177212514,0.05194642122193749,0.05586206896551724,0.3448275862068966,0.7931034482758621,0.20273045243062604,1.1880881207204006,1,6975218,169.16790214,20646.980392156864,106,4997,0.0022063888665531297,9.097496122074325e-4,7.4538954581596735e-6,0.001451890880847263,3.079856581345005e-5,18.074433971142835
Baseline,wk inc hosp,tx,2023-2024,Influenza,0,0.14618514602272462,0.00977687210426565,0.0896086496088189,0.04679962430964007,-0.40206896551724136,0.2413793103448276,0.8275862068965517,0.18961210036374504,1.0841162044542272,1,29527941,113.01820138,54211.00490196078,435,19961,4.95073957316308e-4,0.0012934655147378228,2.696595392155093e-6,3.360578069487922e-4,7.323538200627454e-6,26.054694822151824
Baseline,wk inc hosp,us,2023-2024,Influenza,0,0.14912837936811854,0.03518672651838877,0.07195434179203915,0.041987311057690616,-0.10999999999999999,0.06896551724137931,0.8620689655172413,0.1816724052140785,1.3253371153633682,1,331893745,93.940076244,NA,NA,230989,4.493256700819069e-5,0.001587484121055772,NA,NA,6.456081431068948e-7,37.060790084339466
Baseline,wk inc hosp,ut,2023-2024,Influenza,0,0.26450333796716324,0.08460529049231827,0.07988670037638436,0.10001134709846062,-0.008620689655172407,0.3793103448275862,0.8620689655172413,0.4026585024105571,1.0736831132703974,1,3337975,40.520795603,5892.46568627451,49,578,0.007924065877280784,0.006527594881369517,4.4888396818886616e-5,0.005398027305452311,4.5761823177709905e-4,11.753447468535494
Baseline,wk inc hosp,va,2023-2024,Influenza,0,0.18682952503166364,0.06729566824067401,0.07661258428583935,0.04292127250515028,0.04241379310344829,0.13793103448275862,0.7586206896551724,0.25225020366799755,1.1529259038980157,1,8642274,218.89051189,16798.823529411766,87,5740,0.0021618097856150316,8.535295724720672e-4,1.1121583883809377e-5,0.002147465804961651,3.254869774070795e-5,22.64658762856605
Baseline,wk inc hosp,vt,2023-2024,Influenza,0,0.22736669661616,0.0744398777017211,0.09595552600801077,0.05697129290642811,-0.008620689655172395,0.2413793103448276,0.7586206896551724,0.35415761625527215,0.9262679281546391,1,645570,70.037811804,1181.093137254902,14,390,0.0352195264055269,0.003246342093788467,1.92505306689535e-4,0.016240478329725715,5.829915297850256e-4,10.995502902678622
