state,omega,pop,season,cadence,location_level,disease
hi,12.85928898853359,1415872,2022-2023,Weekly,state,COVID-19
ia,13.364957020263368,3155070,2022-2023,Weekly,state,COVID-19
id,9.9148419743328,1787065,2022-2023,Weekly,state,COVID-19
il,14.056445282460228,12671821,2022-2023,Weekly,state,COVID-19
in,7.264517244910107,6732219,2022-2023,Weekly,state,COVID-19
ks,7.120071514012261,2913314,2022-2023,Weekly,state,COVID-19
ky,7.272362084698281,4467673,2022-2023,Weekly,state,COVID-19
la,9.344337319806073,4648794,2022-2023,Weekly,state,COVID-19
ma,9.692645589458648,6892503,2022-2023,Weekly,state,COVID-19
md,10.701479983740859,6045680,2022-2023,Weekly,state,COVID-19
mi,16.658874374653987,9986857,2022-2023,Weekly,state,COVID-19
mn,12.573229577104716,5639632,2022-2023,Weekly,state,COVID-19
mo,12.285399252828022,6137428,2022-2023,Weekly,state,COVID-19
mt,12.273415695853151,1068778,2022-2023,Weekly,state,COVID-19
nc,6.695940890331354,10488084,2022-2023,Weekly,state,COVID-19
ne,11.005371554382782,1934408,2022-2023,Weekly,state,COVID-19
nh,7.757416741658629,1359711,2022-2023,Weekly,state,COVID-19
nj,13.189099603722509,8882190,2022-2023,Weekly,state,COVID-19
nm,6.836636890963444,2096829,2022-2023,Weekly,state,COVID-19
nv,10.548958669156017,3080156,2022-2023,Weekly,state,COVID-19
oh,10.880600083935876,11689100,2022-2023,Weekly,state,COVID-19
ok,10.164346032898086,3956971,2022-2023,Weekly,state,COVID-19
or,12.65517840167254,4217737,2022-2023,Weekly,state,COVID-19
pa,9.467127156190458,12801989,2022-2023,Weekly,state,COVID-19
sc,12.84273149327616,5148714,2022-2023,Weekly,state,COVID-19
sd,10.432227261077486,884659,2022-2023,Weekly,state,COVID-19
tn,9.429282066198063,6829174,2022-2023,Weekly,state,COVID-19
tx,9.115888047025134,28995881,2022-2023,Weekly,state,COVID-19
ut,7.571885481822926,3205958,2022-2023,Weekly,state,COVID-19
va,6.593749471886079,8535519,2022-2023,Weekly,state,COVID-19
vt,10.531550676469026,623989,2022-2023,Weekly,state,COVID-19
wa,9.850118681563014,7614893,2022-2023,Weekly,state,COVID-19
wi,12.211797320938533,5822434,2022-2023,Weekly,state,COVID-19
wv,7.782108264523224,1792147,2022-2023,Weekly,state,COVID-19
wy,19.56889448655662,578759,2022-2023,Weekly,state,COVID-19
nd,17.290697708593548,762062,2022-2023,Weekly,state,COVID-19
us,19.163129128547617,328239523,2023-2024,Weekly,state,COVID-19
ri,9.907906837816983,1059361,2023-2024,Weekly,state,COVID-19
ny,19.558611639202294,19453561,2023-2024,Weekly,state,COVID-19
ms,12.202422917721446,2976149,2023-2024,Weekly,state,COVID-19
me,2.810520495616864,1344212,2023-2024,Weekly,state,COVID-19
ga,21.14839566582074,10617423,2023-2024,Weekly,state,COVID-19
ak,16.226825263619236,731545,2023-2024,Weekly,state,COVID-19
al,11.003100144964273,4903185,2023-2024,Weekly,state,COVID-19
ar,10.000698813881293,3017804,2023-2024,Weekly,state,COVID-19
az,10.688829419653256,7278717,2023-2024,Weekly,state,COVID-19
ca,19.751642987557805,39512223,2023-2024,Weekly,state,COVID-19
co,22.683021105486468,5758736,2023-2024,Weekly,state,COVID-19
ct,13.787545194744656,3565287,2023-2024,Weekly,state,COVID-19
dc,10.860707684613802,705749,2023-2024,Weekly,state,COVID-19
de,11.821248222146586,973764,2023-2024,Weekly,state,COVID-19
fl,30.319144592581114,21477737,2023-2024,Weekly,state,COVID-19
hi,9.09776604783038,1415872,2023-2024,Weekly,state,COVID-19
ia,17.33572405355034,3155070,2023-2024,Weekly,state,COVID-19
id,6.6157773518506495,1787065,2023-2024,Weekly,state,COVID-19
il,9.490546842599311,12671821,2023-2024,Weekly,state,COVID-19
in,16.02116439741562,6732219,2023-2024,Weekly,state,COVID-19
ks,14.41063853101695,2913314,2023-2024,Weekly,state,COVID-19
ky,13.973151307648713,4467673,2023-2024,Weekly,state,COVID-19
la,12.767150747032652,4648794,2023-2024,Weekly,state,COVID-19
ma,13.68376195483043,6892503,2023-2024,Weekly,state,COVID-19
md,10.634637524435675,6045680,2023-2024,Weekly,state,COVID-19
mi,14.115298999507232,9986857,2023-2024,Weekly,state,COVID-19
