location,omega,pop,season,cadence,location_level,disease,log_pop
in,15.51863526941839,6732219,2022-2023,Daily,state,COVID-19,15.722415364958001
ks,11.919333974601509,2913314,2022-2023,Daily,state,COVID-19,14.884801822785983
ky,12.698938263742187,4467673,2022-2023,Daily,state,COVID-19,15.312378249384595
la,13.116454987304715,4648794,2022-2023,Daily,state,COVID-19,15.352118389086547
ma,15.348126994799415,6892503,2022-2023,Daily,state,COVID-19,15.745944857135706
md,11.267797872574636,6045680,2022-2023,Daily,state,COVID-19,15.61485452536542
mi,13.356180075804025,9986857,2022-2023,Daily,state,COVID-19,16.11678048650856
mn,11.795037109557782,5639632,2022-2023,Daily,state,COVID-19,15.545329373118532
mo,12.71690741302095,6137428,2022-2023,Daily,state,COVID-19,15.629916319855207
mt,9.758961452896953,1068778,2022-2023,Daily,state,COVID-19,13.882026497720332
nc,18.02365532287017,10488084,2022-2023,Daily,state,COVID-19,16.16575031354692
ne,11.579011691911933,1934408,2022-2023,Daily,state,COVID-19,14.47531189448341
nh,12.166704334306456,1359711,2022-2023,Daily,state,COVID-19,14.12278273513091
nj,14.297623133246862,8882190,2022-2023,Daily,state,COVID-19,15.999558706183862
nm,10.102301537939773,2096829,2022-2023,Daily,state,COVID-19,14.5559367614947
nv,14.367554317160103,3080156,2022-2023,Daily,state,COVID-19,14.940490803017772
oh,17.926600044415476,11689100,2022-2023,Daily,state,COVID-19,16.27416734160507
ok,12.225924390490238,3956971,2022-2023,Daily,state,COVID-19,15.190989391556274
or,11.566728330417863,4217737,2022-2023,Daily,state,COVID-19,15.254809286251392
pa,14.000438287489892,12801989,2022-2023,Daily,state,COVID-19,16.365111107442974
sc,17.120933533222903,5148714,2022-2023,Daily,state,COVID-19,15.454257532719637
sd,11.178789947159606,884659,2022-2023,Daily,state,COVID-19,13.692957539004349
tn,13.835153136302281,6829174,2022-2023,Daily,state,COVID-19,15.73671428719104
tx,19.08371804683915,28995881,2022-2023,Daily,state,COVID-19,17.182664343380136
ut,10.539213484418198,3205958,2022-2023,Daily,state,COVID-19,14.980521511629142
va,15.992573426486134,8535519,2022-2023,Daily,state,COVID-19,15.959746720797773
vt,12.096139758570157,623989,2022-2023,Daily,state,COVID-19,13.343888018991057
wa,9.965912015035116,7614893,2022-2023,Daily,state,COVID-19,15.845616492997973
wi,10.569617387215857,5822434,2022-2023,Daily,state,COVID-19,15.577228945339334
wv,11.720828300692709,1792147,2022-2023,Daily,state,COVID-19,14.398924900402633
wy,11.308157330161695,578759,2022-2023,Daily,state,COVID-19,13.268641435017608
nd,12.903858069208397,762062,2022-2023,Daily,state,COVID-19,13.543783196188242
us,33.224486474105305,328239523,2023-2024,Daily,state,COVID-19,19.609254152892177
ri,11.549275487728172,1059361,2023-2024,Daily,state,COVID-19,13.873176454124396
ny,22.955379811340904,19453561,2023-2024,Daily,state,COVID-19,16.783540696103653
ms,13.733574477121646,2976149,2023-2024,Daily,state,COVID-19,14.9061407408861
me,19.30359287531409,1344212,2023-2024,Daily,state,COVID-19,14.111318525721124
ga,20.30907217015292,10617423,2023-2024,Daily,state,COVID-19,16.178006888965257
ak,10.610410532043169,731545,2023-2024,Daily,state,COVID-19,13.502914014980135
al,15.457215316028117,4903185,2023-2024,Daily,state,COVID-19,15.405395551922352
ar,12.657528910119254,3017804,2023-2024,Daily,state,COVID-19,14.920039972529695
az,14.025044278814057,7278717,2023-2024,Daily,state,COVID-19,15.800465168377697
ca,23.974540592362224,39512223,2023-2024,Daily,state,COVID-19,17.492120625041704
co,14.914326690631174,5758736,2023-2024,Daily,state,COVID-19,15.566228564146174
ct,11.312073874186602,3565287,2023-2024,Daily,state,COVID-19,15.086755113499024
dc,14.143164359350136,705749,2023-2024,Daily,state,COVID-19,13.46701492918239
de,9.740206373121108,973764,2023-2024,Daily,state,COVID-19,13.788924253470674
fl,31.39217993563563,21477737,2023-2024,Daily,state,COVID-19,16.88252746823733
hi,12.19611446132205,1415872,2023-2024,Daily,state,COVID-19,14.163256153669659
ia,12.244411942962618,3155070,2023-2024,Daily,state,COVID-19,14.964521240716078
id,11.32546593103112,1787065,2023-2024,Daily,state,COVID-19,14.396085167290911
il,18.14837930607266,12671821,2023-2024,Daily,state,COVID-19,16.354891267305263
in,15.975183987288787,6732219,2023-2024,Daily,state,COVID-19,15.722415364958001
ks,14.83979156358476,2913314,2023-2024,Daily,state,COVID-19,14.884801822785983
ky,12.786688773751964,4467673,2023-2024,Daily,state,COVID-19,15.312378249384595
la,15.624759729871085,4648794,2023-2024,Daily,state,COVID-19,15.352118389086547
ma,14.794184226405926,6892503,2023-2024,Daily,state,COVID-19,15.745944857135706
md,12.717024196864191,6045680,2023-2024,Daily,state,COVID-19,15.61485452536542
mi,18.17433552406239,9986857,2023-2024,Daily,state,COVID-19,16.11678048650856
mn,13.378673318862722,5639632,2023-2024,Daily,state,COVID-19,15.545329373118532
mo,13.688562600891919,6137428,2023-2024,Daily,state,COVID-19,15.629916319855207
mt,12.626490674590862,1068778,2023-2024,Daily,state,COVID-19,13.882026497720332
nc,16.600883331851,10488084,2023-2024,Daily,state,COVID-19,16.16575031354692
ne,12.634212317557768,1934408,2023-2024,Daily,state,COVID-19,14.47531189448341
nh,17.33176886315906,1359711,2023-2024,Daily,state,COVID-19,14.12278273513091
nj,18.481467111760164,8882190,2023-2024,Daily,state,COVID-19,15.999558706183862
nm,11.129142787100621,2096829,2023-2024,Daily,state,COVID-19,14.5559367614947
nv,10.434623535977948,3080156,2023-2024,Daily,state,COVID-19,14.940490803017772
oh,17.83476908483643,11689100,2023-2024,Daily,state,COVID-19,16.27416734160507
ok,12.094950419063666,3956971,2023-2024,Daily,state,COVID-19,15.190989391556274
or,11.27338506370773,4217737,2023-2024,Daily,state,COVID-19,15.254809286251392
pa,17.59135692385264,12801989,2023-2024,Daily,state,COVID-19,16.365111107442974
sc,14.650989173973139,5148714,2023-2024,Daily,state,COVID-19,15.454257532719637
sd,11.222393813428667,884659,2023-2024,Daily,state,COVID-19,13.692957539004349
tn,16.290045558458576,6829174,2023-2024,Daily,state,COVID-19,15.73671428719104
tx,24.55456127890152,28995881,2023-2024,Daily,state,COVID-19,17.182664343380136
ut,10.659876498081978,3205958,2023-2024,Daily,state,COVID-19,14.980521511629142
va,17.05049090710068,8535519,2023-2024,Daily,state,COVID-19,15.959746720797773
vt,12.002216210186766,623989,2023-2024,Daily,state,COVID-19,13.343888018991057
wa,13.438927831815084,7614893,2023-2024,Daily,state,COVID-19,15.845616492997973
wi,13.45930062395353,5822434,2023-2024,Daily,state,COVID-19,15.577228945339334
wv,12.539831661906442,1792147,2023-2024,Daily,state,COVID-19,14.398924900402633
wy,10.441054377211579,578759,2023-2024,Daily,state,COVID-19,13.268641435017608
