state,omega,pop,season,disease
la,13.411325302967247,4648794,2022-2023,COVID-19
ma,19.581124237245184,6892503,2022-2023,COVID-19
md,19.10323925728228,6045680,2022-2023,COVID-19
me,11.046725255500744,1344212,2022-2023,COVID-19
mi,19.33621781985795,9986857,2022-2023,COVID-19
mn,9.896265345200261,5639632,2022-2023,COVID-19
ms,4.907873705266741,2976149,2022-2023,COVID-19
mt,18.056916316459702,1068778,2022-2023,COVID-19
nc,15.41847102428866,10488084,2022-2023,COVID-19
nd,11.632505738062415,762062,2022-2023,COVID-19
ne,20.512969258204848,1934408,2022-2023,COVID-19
nh,8.773563099468163,1359711,2022-2023,COVID-19
nj,19.35274943882782,8882190,2022-2023,COVID-19
nm,19.03972871878422,2096829,2022-2023,COVID-19
nv,11.642331803635775,3080156,2022-2023,COVID-19
ny,12.06598000123238,19453561,2022-2023,COVID-19
oh,15.718658366189675,11689100,2022-2023,COVID-19
ok,10.192508124518119,3956971,2022-2023,COVID-19
or,15.756724244460841,4217737,2022-2023,COVID-19
pa,7.265075785728692,12801989,2022-2023,COVID-19
ri,15.616123277803062,1059361,2022-2023,COVID-19
sc,12.724303920004743,5148714,2022-2023,COVID-19
sd,7.105754826564137,884659,2022-2023,COVID-19
tn,14.21408565205856,6829174,2022-2023,COVID-19
tx,13.10694020127402,28995881,2022-2023,COVID-19
us,13.783562860335897,328239523,2022-2023,COVID-19
ut,12.474206165973046,3205958,2022-2023,COVID-19
va,14.679409012547474,8535519,2022-2023,COVID-19
vt,8.977689376350595,623989,2022-2023,COVID-19
wa,10.517123211783119,7614893,2022-2023,COVID-19
wi,6.9167776352421555,5822434,2022-2023,COVID-19
wv,10.26660368029263,1792147,2022-2023,COVID-19
ak,13.622422331279227,731545,2023-2024,COVID-19
al,22.039991492871124,4903185,2023-2024,COVID-19
ar,18.516743340048503,3017804,2023-2024,COVID-19
az,13.548769982892651,7278717,2023-2024,COVID-19
ca,26.358317393171728,39512223,2023-2024,COVID-19
co,13.499800437413024,5758736,2023-2024,COVID-19
ct,13.329822532325908,3565287,2023-2024,COVID-19
dc,16.98347228208665,705749,2023-2024,COVID-19
de,13.437605893533888,973764,2023-2024,COVID-19
fl,29.659681073280275,21477737,2023-2024,COVID-19
ga,17.15066710769021,10617423,2023-2024,COVID-19
hi,22.913841067771035,1415872,2023-2024,COVID-19
ia,19.08614798435735,3155070,2023-2024,COVID-19
id,10.765636115388888,1787065,2023-2024,COVID-19
il,18.53330826310455,12671821,2023-2024,COVID-19
in,20.029074111793864,6732219,2023-2024,COVID-19
ks,14.275417516162358,2913314,2023-2024,COVID-19
ky,17.068482838507393,4467673,2023-2024,COVID-19
la,26.555137442349185,4648794,2023-2024,COVID-19
ma,19.13208415843506,6892503,2023-2024,COVID-19
md,12.553477310562577,6045680,2023-2024,COVID-19
me,9.201205093094977,1344212,2023-2024,COVID-19
mi,14.119798641874903,9986857,2023-2024,COVID-19
mn,14.015588503832376,5639632,2023-2024,COVID-19
ms,25.95868884901038,2976149,2023-2024,COVID-19
mt,8.788637529486909,1068778,2023-2024,COVID-19
nc,23.411299091604466,10488084,2023-2024,COVID-19
nd,10.02971245043528,762062,2023-2024,COVID-19
ne,15.417170818651938,1934408,2023-2024,COVID-19
nh,12.890663467445428,1359711,2023-2024,COVID-19
nj,16.516601887079542,8882190,2023-2024,COVID-19
nm,13.94413608371472,2096829,2023-2024,COVID-19
nv,10.567900892950643,3080156,2023-2024,COVID-19
ny,15.741446910688062,19453561,2023-2024,COVID-19
oh,16.21763589406945,11689100,2023-2024,COVID-19
ok,14.328777066625097,3956971,2023-2024,COVID-19
or,9.864582531892607,4217737,2023-2024,COVID-19
pa,15.009918640615894,12801989,2023-2024,COVID-19
ri,16.53062130947539,1059361,2023-2024,COVID-19
sc,26.884357410991278,5148714,2023-2024,COVID-19
sd,10.842560169799775,884659,2023-2024,COVID-19
tn,21.070265969840985,6829174,2023-2024,COVID-19
tx,27.16905820641743,28995881,2023-2024,COVID-19
us,24.000337300443064,328239523,2023-2024,COVID-19
ut,13.003067404742652,3205958,2023-2024,COVID-19
va,17.24509648586483,8535519,2023-2024,COVID-19
vt,6.091448713362468,623989,2023-2024,COVID-19
wa,22.896987345541376,7614893,2023-2024,COVID-19
wi,12.885900754334866,5822434,2023-2024,COVID-19
wv,13.446886990893237,1792147,2023-2024,COVID-19
ak,9.215695852601458,731545,2024-2025,COVID-19
al,20.69411012792314,4903185,2024-2025,COVID-19
ar,8.753476654324865,3017804,2024-2025,COVID-19
az,14.232442007421309,7278717,2024-2025,COVID-19
ca,24.932409947400412,39512223,2024-2025,COVID-19
