state,omega,pop,season,cadence,location_level,disease
ny,26.27825981287719,19453561,2022-2023,Weekly,state,Influenza
oh,17.485961414588612,11689100,2022-2023,Weekly,state,Influenza
ok,14.56868450037232,3956971,2022-2023,Weekly,state,Influenza
or,19.141828260728598,4217737,2022-2023,Weekly,state,Influenza
pa,13.335327616997661,12801989,2022-2023,Weekly,state,Influenza
ri,8.293263561845244,1059361,2022-2023,Weekly,state,Influenza
sc,10.248888241631192,5148714,2022-2023,Weekly,state,Influenza
sd,13.211184169183221,884659,2022-2023,Weekly,state,Influenza
tn,9.606694331147224,6829174,2022-2023,Weekly,state,Influenza
tx,14.40479563184499,28995881,2022-2023,Weekly,state,Influenza
us,18.038562705411465,328239523,2022-2023,Weekly,state,Influenza
ut,3.1605759475675677,3205958,2022-2023,Weekly,state,Influenza
va,12.437453256884512,8535519,2022-2023,Weekly,state,Influenza
vt,8.666675600144746,623989,2022-2023,Weekly,state,Influenza
wa,11.633137867617972,7614893,2022-2023,Weekly,state,Influenza
wi,15.306611883201027,5822434,2022-2023,Weekly,state,Influenza
wv,9.640972985162598,1792147,2022-2023,Weekly,state,Influenza
wy,3.271198119579044,578759,2022-2023,Weekly,state,Influenza
ak,7.216463530646877,731545,2023-2024,Weekly,state,Influenza
al,8.933779723222479,4903185,2023-2024,Weekly,state,Influenza
ar,14.717772886222813,3017804,2023-2024,Weekly,state,Influenza
az,12.905636520823482,7278717,2023-2024,Weekly,state,Influenza
ca,10.207294911811903,39512223,2023-2024,Weekly,state,Influenza
co,10.8799109443545,5758736,2023-2024,Weekly,state,Influenza
ct,8.533941430445513,3565287,2023-2024,Weekly,state,Influenza
dc,5.147173951278228,705749,2023-2024,Weekly,state,Influenza
de,4.946681782655615,973764,2023-2024,Weekly,state,Influenza
fl,5.62454353965035,21477737,2023-2024,Weekly,state,Influenza
ga,4.144059436689195,10617423,2023-2024,Weekly,state,Influenza
hi,16.930236634606754,1415872,2023-2024,Weekly,state,Influenza
ia,8.636467715575712,3155070,2023-2024,Weekly,state,Influenza
id,7.31755560049463,1787065,2023-2024,Weekly,state,Influenza
il,10.32029558825187,12671821,2023-2024,Weekly,state,Influenza
in,16.414923946005455,6732219,2023-2024,Weekly,state,Influenza
