location,omega,pop,season,cadence,location_level,disease,log_pop
San Bernardino,7.932016016581011,2217398,2022-2023,NA,county,COVID-19,14.611844994362734
San Diego,56.17196058788871,3370418,2022-2023,NA,county,COVID-19,15.030547330245073
San Francisco,17.065790717111472,892280,2022-2023,NA,county,COVID-19,13.701535263650719
San Joaquin,40.53018742318423,782545,2022-2023,NA,county,COVID-19,13.570306707730145
San Luis Obispo,13.725467101791434,278862,2022-2023,NA,county,COVID-19,12.538472314780956
San Mateo,7.82014947302514,778001,2022-2023,NA,county,COVID-19,13.564483088506746
Santa Barbara,13.64839430174375,456373,2022-2023,NA,county,COVID-19,13.031065736587339
Santa Clara,11.021238001345168,1967585,2022-2023,NA,county,COVID-19,14.49231746037355
Shasta,13.486393182627976,177925,2022-2023,NA,county,COVID-19,12.089117392167472
Solano,11.860356953143302,444255,2022-2023,NA,county,COVID-19,13.004154000877591
Sonoma,22.46283097416988,496668,2022-2023,NA,county,COVID-19,13.115677073813687
Stanislaus,10.382399927470164,562303,2022-2023,NA,county,COVID-19,13.239796129496366
Tehama,12.14948143471265,65885,2022-2023,NA,county,COVID-19,11.095666076979352
Tulare,15.45509609597212,484423,2022-2023,NA,county,COVID-19,13.090713770954181
Tuolumne,21.59012251684562,52351,2022-2023,NA,county,COVID-19,10.86572631831299
Ventura,8.911220364804562,852747,2022-2023,NA,county,COVID-19,13.656218182244801
Yolo,8.762020722246323,223612,2022-2023,NA,county,COVID-19,12.317667686086015
Yuba,11.223817043704031,79290,2022-2023,NA,county,COVID-19,11.280867296266445
Alameda,7.381126475248445,1685886,2023-2024,NA,county,COVID-19,14.337801799599534
Amador,12.0115805838386,38531,2023-2024,NA,county,COVID-19,10.559218391085642
Butte,12.190577857440388,217769,2023-2024,NA,county,COVID-19,12.291190146935717
Contra Costa,8.921581864114325,1160099,2023-2024,NA,county,COVID-19,13.964015904268472
Del Norte,7.398599259897565,27558,2023-2024,NA,county,COVID-19,10.224048153553849
El Dorado,20.816648692414596,193098,2023-2024,NA,county,COVID-19,12.170953111035159
Fresno,45.91619961560336,1032227,2023-2024,NA,county,COVID-19,13.847229162076028
Humboldt,13.042583196723855,134098,2023-2024,NA,county,COVID-19,11.80632615491545
Imperial,14.267988792353092,191649,2023-2024,NA,county,COVID-19,12.163420852950058
Inyo,8.540970884353394,18453,2023-2024,NA,county,COVID-19,9.822982237876477
