location,omega,pop,season
Siskiyou,14.377532171293028,43956,2015-2016
Solano,8.656129216285791,444255,2015-2016
Sonoma,11.730162244473942,496668,2015-2016
Stanislaus,12.72907686221375,562303,2015-2016
Tehama,10.923580705950208,65885,2015-2016
Tulare,12.023697946781365,484423,2015-2016
Tuolumne,11.22796930336677,52351,2015-2016
Ventura,10.157221080089895,852747,2015-2016
Yolo,11.20007501188962,223612,2015-2016
Alameda,16.63505673966116,1685886,2016-2017
Amador,9.92079442304622,38531,2016-2017
Butte,11.605044364122563,217769,2016-2017
California,33.24752912089085,40129160,2016-2017
Contra Costa,16.191875580949556,1160099,2016-2017
Del Norte,9.789932120341572,27558,2016-2017
El Dorado,10.055361088821291,193098,2016-2017
Fresno,10.90738692970904,1032227,2016-2017
Humboldt,11.910048927251227,134098,2016-2017
Imperial,11.5577022599341,191649,2016-2017
Kern,11.770628651439797,927251,2016-2017
Kings,10.979215658555685,156444,2016-2017
Lake,8.671909923880195,64871,2016-2017
Lassen,11.534549160656892,30065,2016-2017
Los Angeles,21.323065812550503,10257557,2016-2017
Madera,10.414666477093437,160089,2016-2017
Marin,10.615346345073263,260800,2016-2017
Mendocino,10.35570816065614,88439,2016-2017
Merced,13.546275647997385,287420,2016-2017
Monterey,13.070208940627747,448732,2016-2017
Napa,10.655341326039313,139652,2016-2017
Nevada,11.069491166048884,98710,2016-2017
Orange,14.099215584070135,3228519,2016-2017
Placer,10.030387930464467,400434,2016-2017
Riverside,11.479557529948591,2468145,2016-2017
Sacramento,15.79635724614642,1567975,2016-2017
San Benito,9.888525807711924,64022,2016-2017
San Bernardino,10.836894752725346,2217398,2016-2017
San Diego,12.65380563158206,3370418,2016-2017
San Francisco,13.077792724698279,892280,2016-2017
San Joaquin,13.367942090904183,782545,2016-2017
San Luis.Obispo,9.65106063099781,NA,2016-2017
San Mateo,13.715372831696804,778001,2016-2017
Santa Barbara,11.089290720744804,456373,2016-2017
Santa Clara,16.845661018225975,1967585,2016-2017
Santa Cruz,10.597225358094587,273999,2016-2017
Shasta,13.71848720689809,177925,2016-2017
Siskiyou,10.231388838952027,43956,2016-2017
Solano,13.622068882062067,444255,2016-2017
Sonoma,15.812109623050318,496668,2016-2017
Stanislaus,11.455536864281612,562303,2016-2017
Tehama,11.32360593200904,65885,2016-2017
Tulare,12.734050091671534,484423,2016-2017
Tuolumne,11.045919096856927,52351,2016-2017
Ventura,10.982993278569907,852747,2016-2017
Yolo,10.615721864538873,223612,2016-2017
Alameda,21.00082579255229,1685886,2017-2018
Amador,15.108876126416614,38531,2017-2018
Butte,14.243859184397712,217769,2017-2018
California,37.33170725222724,40129160,2017-2018
Contra Costa,21.435857653789082,1160099,2017-2018
Del Norte,12.030606995599413,27558,2017-2018
El Dorado,11.689575730252278,193098,2017-2018
Fresno,13.486838946781832,1032227,2017-2018
Humboldt,10.761138937288484,134098,2017-2018
Imperial,9.62391733371799,191649,2017-2018
Kern,15.532949338739844,927251,2017-2018
Kings,15.162469410056545,156444,2017-2018
Lake,11.807670903257407,64871,2017-2018
Lassen,10.835985018623184,30065,2017-2018
Los Angeles,34.21439827857727,10257557,2017-2018
Madera,11.628795359163446,160089,2017-2018
Marin,13.317412248917327,260800,2017-2018
Mendocino,12.292005264023054,88439,2017-2018
Merced,11.56213345821694,287420,2017-2018
Monterey,11.249964240584232,448732,2017-2018
Napa,10.004589584797497,139652,2017-2018
Nevada,13.042288316393435,98710,2017-2018
Orange,26.86208768864181,3228519,2017-2018
Placer,16.41833282334577,400434,2017-2018
Riverside,24.800915255773837,2468145,2017-2018
Sacramento,20.398364432707293,1567975,2017-2018
San Benito,11.197522438368136,64022,2017-2018
San Bernardino,23.22582803662622,2217398,2017-2018
San Diego,33.649540197066344,3370418,2017-2018
San Francisco,13.472695183983486,892280,2017-2018
San Joaquin,13.103122964015734,782545,2017-2018
San Luis.Obispo,16.68087418692744,NA,2017-2018
San Mateo,15.759210079864916,778001,2017-2018
