geo_value,time_value,value
ks,2022-10-29,0.99
ky,2022-10-29,2.25
la,2022-10-29,6.42
ma,2022-10-29,0.28
md,2022-10-29,3.74
me,2022-10-29,0.19
mi,2022-10-29,0.19
mn,2022-10-29,1.14
ms,2022-10-29,7.17
mt,2022-10-29,0.14
nc,2022-10-29,6.83
nd,2022-10-29,0.22
ne,2022-10-29,0.36
nh,2022-10-29,0.38
nj,2022-10-29,1.55
nm,2022-10-29,0.38
nv,2022-10-29,0.41
ny,2022-10-29,0.5
oh,2022-10-29,1.24
ok,2022-10-29,0.75
or,2022-10-29,0.31
pa,2022-10-29,0.77
ri,2022-10-29,0.28
sc,2022-10-29,7.45
sd,2022-10-29,0.18
tn,2022-10-29,4.53
tx,2022-10-29,4.28
ut,2022-10-29,0.33
va,2022-10-29,5.4
vt,2022-10-29,0.24
wa,2022-10-29,0.66
wi,2022-10-29,0.34
wv,2022-10-29,2.18
wy,2022-10-29,0.73
ak,2022-11-05,1.94
al,2022-11-05,12.29
ar,2022-11-05,4.58
az,2022-11-05,1.06
ca,2022-11-05,1.85
co,2022-11-05,0.96
ct,2022-11-05,2.5
dc,2022-11-05,3.68
de,2022-11-05,3.87
fl,2022-11-05,2.93
ga,2022-11-05,4.96
hi,2022-11-05,2.12
ia,2022-11-05,0.54
id,2022-11-05,0.41
il,2022-11-05,3.21
in,2022-11-05,2.62
ks,2022-11-05,1.81
ky,2022-11-05,4.69
la,2022-11-05,7.31
ma,2022-11-05,0.59
md,2022-11-05,5.74
me,2022-11-05,0.35
mi,2022-11-05,0.34
mn,2022-11-05,3.13
ms,2022-11-05,10.4
mt,2022-11-05,0.38
nc,2022-11-05,9.99
nd,2022-11-05,0.28
ne,2022-11-05,1.31
nh,2022-11-05,0.77
nj,2022-11-05,3.35
nm,2022-11-05,0.91
nv,2022-11-05,0.91
ny,2022-11-05,1.17
oh,2022-11-05,2.49
ok,2022-11-05,0.96
or,2022-11-05,0.9
pa,2022-11-05,1.63
ri,2022-11-05,0.69
sc,2022-11-05,9.94
sd,2022-11-05,0.46
tn,2022-11-05,7.38
tx,2022-11-05,5.68
ut,2022-11-05,0.56
va,2022-11-05,8.16
vt,2022-11-05,0.29
wa,2022-11-05,1.43
wi,2022-11-05,0.64
wv,2022-11-05,3.97
wy,2022-11-05,1.98
ak,2022-11-12,3.73
al,2022-11-12,8.95
ar,2022-11-12,5.44
az,2022-11-12,2.12
ca,2022-11-12,2.98
co,2022-11-12,1.86
ct,2022-11-12,2.75
dc,2022-11-12,4.32
de,2022-11-12,4.44
fl,2022-11-12,3.36
ga,2022-11-12,3.89
hi,2022-11-12,2.74
ia,2022-11-12,0.79
id,2022-11-12,0.76
il,2022-11-12,4.19
in,2022-11-12,3.51
ks,2022-11-12,2.84
ky,2022-11-12,5.54
la,2022-11-12,6.14
ma,2022-11-12,0.79
md,2022-11-12,6.2
me,2022-11-12,0.67
mi,2022-11-12,0.47
mn,2022-11-12,5.15
ms,2022-11-12,9.72
mt,2022-11-12,1.01
nc,2022-11-12,9.28
nd,2022-11-12,0.89
ne,2022-11-12,1.64
nh,2022-11-12,1.01
nj,2022-11-12,4.02
nm,2022-11-12,1.5
nv,2022-11-12,1.82
ny,2022-11-12,1.59
oh,2022-11-12,2.92
ok,2022-11-12,1.45
or,2022-11-12,1.85
pa,2022-11-12,2.03
ri,2022-11-12,1.1
sc,2022-11-12,8.1
sd,2022-11-12,0.77
tn,2022-11-12,7.28
tx,2022-11-12,5.75
