,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
215,in,pct_ed_visits_covid,202243,202551,164,1.9,,,state,nssp
216,ks,pct_ed_visits_covid,202243,202551,164,1.81,,,state,nssp
217,ky,pct_ed_visits_covid,202243,202551,164,2.0,,,state,nssp
218,la,pct_ed_visits_covid,202243,202551,164,0.79,,,state,nssp
219,ma,pct_ed_visits_covid,202243,202551,164,2.45,,,state,nssp
220,md,pct_ed_visits_covid,202243,202551,164,2.04,,,state,nssp
221,me,pct_ed_visits_covid,202243,202551,164,3.02,,,state,nssp
222,mi,pct_ed_visits_covid,202243,202551,164,2.81,,,state,nssp
223,mn,pct_ed_visits_covid,202243,202551,164,2.34,,,state,nssp
224,ms,pct_ed_visits_covid,202243,202551,164,0.73,,,state,nssp
225,mt,pct_ed_visits_covid,202243,202551,164,2.03,,,state,nssp
226,nc,pct_ed_visits_covid,202243,202551,164,1.71,,,state,nssp
227,nd,pct_ed_visits_covid,202243,202551,164,2.73,,,state,nssp
228,ne,pct_ed_visits_covid,202243,202551,164,1.42,,,state,nssp
229,nh,pct_ed_visits_covid,202243,202551,164,2.69,,,state,nssp
230,nj,pct_ed_visits_covid,202243,202551,164,2.36,,,state,nssp
231,nm,pct_ed_visits_covid,202243,202551,164,3.68,,,state,nssp
232,nv,pct_ed_visits_covid,202243,202551,164,1.67,,,state,nssp
233,ny,pct_ed_visits_covid,202243,202551,164,2.12,,,state,nssp
234,oh,pct_ed_visits_covid,202243,202551,164,2.12,,,state,nssp
235,ok,pct_ed_visits_covid,202243,202551,164,1.17,,,state,nssp
236,or,pct_ed_visits_covid,202243,202551,164,1.72,,,state,nssp
237,pa,pct_ed_visits_covid,202243,202551,164,1.95,,,state,nssp
238,ri,pct_ed_visits_covid,202243,202551,164,1.85,,,state,nssp
239,sc,pct_ed_visits_covid,202243,202551,164,1.32,,,state,nssp
240,sd,pct_ed_visits_covid,202243,202551,164,1.89,,,state,nssp
241,tn,pct_ed_visits_covid,202243,202551,164,1.32,,,state,nssp
242,tx,pct_ed_visits_covid,202243,202551,164,0.7,,,state,nssp
243,ut,pct_ed_visits_covid,202243,202551,164,2.39,,,state,nssp
244,va,pct_ed_visits_covid,202243,202551,164,1.95,,,state,nssp
245,vt,pct_ed_visits_covid,202243,202551,164,3.18,,,state,nssp
246,wa,pct_ed_visits_covid,202243,202551,164,1.81,,,state,nssp
247,wi,pct_ed_visits_covid,202243,202551,164,2.32,,,state,nssp
248,wv,pct_ed_visits_covid,202243,202551,164,1.8,,,state,nssp
249,wy,pct_ed_visits_covid,202243,202551,164,2.56,,,state,nssp
250,ak,pct_ed_visits_covid,202244,202551,163,1.7,,,state,nssp
251,al,pct_ed_visits_covid,202244,202551,163,1.05,,,state,nssp
252,ar,pct_ed_visits_covid,202244,202551,163,0.97,,,state,nssp
253,az,pct_ed_visits_covid,202244,202551,163,2.9,,,state,nssp
254,ca,pct_ed_visits_covid,202244,202551,163,1.3,,,state,nssp
255,co,pct_ed_visits_covid,202244,202551,163,2.84,,,state,nssp
256,ct,pct_ed_visits_covid,202244,202551,163,2.56,,,state,nssp
257,dc,pct_ed_visits_covid,202244,202551,163,1.93,,,state,nssp
258,de,pct_ed_visits_covid,202244,202551,163,1.69,,,state,nssp
259,fl,pct_ed_visits_covid,202244,202551,163,1.21,,,state,nssp
260,ga,pct_ed_visits_covid,202244,202551,163,0.6,,,state,nssp
261,hi,pct_ed_visits_covid,202244,202551,163,1.84,,,state,nssp
262,ia,pct_ed_visits_covid,202244,202551,163,2.66,,,state,nssp
263,id,pct_ed_visits_covid,202244,202551,163,2.03,,,state,nssp
264,il,pct_ed_visits_covid,202244,202551,163,2.42,,,state,nssp
265,in,pct_ed_visits_covid,202244,202551,163,2.14,,,state,nssp
266,ks,pct_ed_visits_covid,202244,202551,163,1.85,,,state,nssp
267,ky,pct_ed_visits_covid,202244,202551,163,1.87,,,state,nssp
268,la,pct_ed_visits_covid,202244,202551,163,0.95,,,state,nssp
269,ma,pct_ed_visits_covid,202244,202551,163,2.24,,,state,nssp
270,md,pct_ed_visits_covid,202244,202551,163,2.13,,,state,nssp
271,me,pct_ed_visits_covid,202244,202551,163,2.32,,,state,nssp
272,mi,pct_ed_visits_covid,202244,202551,163,2.68,,,state,nssp
273,mn,pct_ed_visits_covid,202244,202551,163,2.47,,,state,nssp
274,ms,pct_ed_visits_covid,202244,202551,163,0.79,,,state,nssp
275,mt,pct_ed_visits_covid,202244,202551,163,2.37,,,state,nssp
276,nc,pct_ed_visits_covid,202244,202551,163,1.69,,,state,nssp
277,nd,pct_ed_visits_covid,202244,202551,163,3.24,,,state,nssp
278,ne,pct_ed_visits_covid,202244,202551,163,1.89,,,state,nssp
279,nh,pct_ed_visits_covid,202244,202551,163,2.25,,,state,nssp
280,nj,pct_ed_visits_covid,202244,202551,163,2.29,,,state,nssp
281,nm,pct_ed_visits_covid,202244,202551,163,4.42,,,state,nssp
282,nv,pct_ed_visits_covid,202244,202551,163,1.95,,,state,nssp
283,ny,pct_ed_visits_covid,202244,202551,163,2.1,,,state,nssp
284,oh,pct_ed_visits_covid,202244,202551,163,2.05,,,state,nssp
285,ok,pct_ed_visits_covid,202244,202551,163,1.07,,,state,nssp
286,or,pct_ed_visits_covid,202244,202551,163,1.84,,,state,nssp
287,pa,pct_ed_visits_covid,202244,202551,163,1.99,,,state,nssp
288,ri,pct_ed_visits_covid,202244,202551,163,1.71,,,state,nssp
289,sc,pct_ed_visits_covid,202244,202551,163,1.25,,,state,nssp
290,sd,pct_ed_visits_covid,202244,202551,163,2.04,,,state,nssp
291,tn,pct_ed_visits_covid,202244,202551,163,1.42,,,state,nssp
292,tx,pct_ed_visits_covid,202244,202551,163,0.76,,,state,nssp
293,ut,pct_ed_visits_covid,202244,202551,163,2.63,,,state,nssp
294,va,pct_ed_visits_covid,202244,202551,163,1.77,,,state,nssp
295,vt,pct_ed_visits_covid,202244,202551,163,2.56,,,state,nssp
296,wa,pct_ed_visits_covid,202244,202551,163,1.74,,,state,nssp
297,wi,pct_ed_visits_covid,202244,202551,163,2.15,,,state,nssp
298,wv,pct_ed_visits_covid,202244,202551,163,1.82,,,state,nssp
299,wy,pct_ed_visits_covid,202244,202551,163,2.99,,,state,nssp
300,ak,pct_ed_visits_covid,202245,202551,162,1.63,,,state,nssp
301,al,pct_ed_visits_covid,202245,202551,162,0.97,,,state,nssp
302,ar,pct_ed_visits_covid,202245,202551,162,0.95,,,state,nssp
303,az,pct_ed_visits_covid,202245,202551,162,3.92,,,state,nssp
304,ca,pct_ed_visits_covid,202245,202551,162,1.56,,,state,nssp
305,co,pct_ed_visits_covid,202245,202551,162,3.13,,,state,nssp
306,ct,pct_ed_visits_covid,202245,202551,162,2.31,,,state,nssp
307,dc,pct_ed_visits_covid,202245,202551,162,1.7,,,state,nssp
308,de,pct_ed_visits_covid,202245,202551,162,1.65,,,state,nssp
309,fl,pct_ed_visits_covid,202245,202551,162,1.23,,,state,nssp
310,ga,pct_ed_visits_covid,202245,202551,162,0.67,,,state,nssp
311,hi,pct_ed_visits_covid,202245,202551,162,2.17,,,state,nssp
312,ia,pct_ed_visits_covid,202245,202551,162,2.36,,,state,nssp
313,id,pct_ed_visits_covid,202245,202551,162,2.18,,,state,nssp
314,il,pct_ed_visits_covid,202245,202551,162,2.29,,,state,nssp
315,in,pct_ed_visits_covid,202245,202551,162,2.07,,,state,nssp
316,ks,pct_ed_visits_covid,202245,202551,162,2.01,,,state,nssp
317,ky,pct_ed_visits_covid,202245,202551,162,1.83,,,state,nssp
318,la,pct_ed_visits_covid,202245,202551,162,0.9,,,state,nssp
319,ma,pct_ed_visits_covid,202245,202551,162,2.15,,,state,nssp
320,md,pct_ed_visits_covid,202245,202551,162,2.06,,,state,nssp
321,me,pct_ed_visits_covid,202245,202551,162,1.97,,,state,nssp
322,mi,pct_ed_visits_covid,202245,202551,162,2.34,,,state,nssp
323,mn,pct_ed_visits_covid,202245,202551,162,2.37,,,state,nssp
324,ms,pct_ed_visits_covid,202245,202551,162,0.73,,,state,nssp
325,mt,pct_ed_visits_covid,202245,202551,162,2.14,,,state,nssp
326,nc,pct_ed_visits_covid,202245,202551,162,1.55,,,state,nssp
327,nd,pct_ed_visits_covid,202245,202551,162,2.99,,,state,nssp
328,ne,pct_ed_visits_covid,202245,202551,162,2.06,,,state,nssp
329,nh,pct_ed_visits_covid,202245,202551,162,1.96,,,state,nssp
330,nj,pct_ed_visits_covid,202245,202551,162,2.15,,,state,nssp
331,nm,pct_ed_visits_covid,202245,202551,162,4.6,,,state,nssp
332,nv,pct_ed_visits_covid,202245,202551,162,2.14,,,state,nssp
333,ny,pct_ed_visits_covid,202245,202551,162,2.08,,,state,nssp
334,oh,pct_ed_visits_covid,202245,202551,162,1.84,,,state,nssp
335,ok,pct_ed_visits_covid,202245,202551,162,1.14,,,state,nssp
336,or,pct_ed_visits_covid,202245,202551,162,2.02,,,state,nssp
337,pa,pct_ed_visits_covid,202245,202551,162,1.85,,,state,nssp
338,ri,pct_ed_visits_covid,202245,202551,162,1.58,,,state,nssp
339,sc,pct_ed_visits_covid,202245,202551,162,1.16,,,state,nssp
340,sd,pct_ed_visits_covid,202245,202551,162,2.02,,,state,nssp
341,tn,pct_ed_visits_covid,202245,202551,162,1.28,,,state,nssp
342,tx,pct_ed_visits_covid,202245,202551,162,0.79,,,state,nssp
343,ut,pct_ed_visits_covid,202245,202551,162,3.32,,,state,nssp
344,va,pct_ed_visits_covid,202245,202551,162,1.56,,,state,nssp
345,vt,pct_ed_visits_covid,202245,202551,162,2.42,,,state,nssp
346,wa,pct_ed_visits_covid,202245,202551,162,1.86,,,state,nssp
347,wi,pct_ed_visits_covid,202245,202551,162,1.83,,,state,nssp
348,wv,pct_ed_visits_covid,202245,202551,162,1.77,,,state,nssp
349,wy,pct_ed_visits_covid,202245,202551,162,2.4,,,state,nssp
350,ak,pct_ed_visits_covid,202246,202551,161,1.56,,,state,nssp
351,al,pct_ed_visits_covid,202246,202551,161,0.98,,,state,nssp
352,ar,pct_ed_visits_covid,202246,202551,161,0.79,,,state,nssp
353,az,pct_ed_visits_covid,202246,202551,161,4.9,,,state,nssp
354,ca,pct_ed_visits_covid,202246,202551,161,1.79,,,state,nssp
355,co,pct_ed_visits_covid,202246,202551,161,3.47,,,state,nssp
356,ct,pct_ed_visits_covid,202246,202551,161,2.2,,,state,nssp
357,dc,pct_ed_visits_covid,202246,202551,161,2.09,,,state,nssp
358,de,pct_ed_visits_covid,202246,202551,161,1.33,,,state,nssp
359,fl,pct_ed_visits_covid,202246,202551,161,1.24,,,state,nssp
360,ga,pct_ed_visits_covid,202246,202551,161,0.64,,,state,nssp
