geo_value,time_value,value
ct,2022-10-29,2.69
dc,2022-10-29,1.67
de,2022-10-29,1.81
fl,2022-10-29,1.17
ga,2022-10-29,0.55
hi,2022-10-29,2.27
ia,2022-10-29,2.54
id,2022-10-29,1.75
il,2022-10-29,2.38
in,2022-10-29,1.9
ks,2022-10-29,1.81
ky,2022-10-29,2
la,2022-10-29,0.79
ma,2022-10-29,2.45
md,2022-10-29,2.04
me,2022-10-29,3.02
mi,2022-10-29,2.81
mn,2022-10-29,2.34
ms,2022-10-29,0.73
mt,2022-10-29,2.03
nc,2022-10-29,1.71
nd,2022-10-29,2.73
ne,2022-10-29,1.42
nh,2022-10-29,2.69
nj,2022-10-29,2.36
nm,2022-10-29,3.68
nv,2022-10-29,1.67
ny,2022-10-29,2.12
oh,2022-10-29,2.12
ok,2022-10-29,1.17
or,2022-10-29,1.72
pa,2022-10-29,1.95
ri,2022-10-29,1.85
sc,2022-10-29,1.32
sd,2022-10-29,1.89
tn,2022-10-29,1.32
tx,2022-10-29,0.7
ut,2022-10-29,2.39
va,2022-10-29,1.95
vt,2022-10-29,3.18
wa,2022-10-29,1.81
wi,2022-10-29,2.32
wv,2022-10-29,1.8
wy,2022-10-29,2.56
ak,2022-11-05,1.7
al,2022-11-05,1.05
ar,2022-11-05,0.97
az,2022-11-05,2.9
ca,2022-11-05,1.3
co,2022-11-05,2.84
ct,2022-11-05,2.56
dc,2022-11-05,1.93
de,2022-11-05,1.69
fl,2022-11-05,1.21
ga,2022-11-05,0.6
hi,2022-11-05,1.84
ia,2022-11-05,2.66
id,2022-11-05,2.03
il,2022-11-05,2.42
in,2022-11-05,2.14
ks,2022-11-05,1.85
ky,2022-11-05,1.87
la,2022-11-05,0.95
ma,2022-11-05,2.24
md,2022-11-05,2.13
me,2022-11-05,2.32
mi,2022-11-05,2.68
mn,2022-11-05,2.47
ms,2022-11-05,0.79
mt,2022-11-05,2.37
nc,2022-11-05,1.69
nd,2022-11-05,3.24
ne,2022-11-05,1.89
nh,2022-11-05,2.25
nj,2022-11-05,2.29
nm,2022-11-05,4.42
nv,2022-11-05,1.95
ny,2022-11-05,2.1
oh,2022-11-05,2.05
ok,2022-11-05,1.07
or,2022-11-05,1.84
pa,2022-11-05,1.99
ri,2022-11-05,1.71
sc,2022-11-05,1.25
sd,2022-11-05,2.04
tn,2022-11-05,1.42
tx,2022-11-05,0.76
ut,2022-11-05,2.63
va,2022-11-05,1.77
vt,2022-11-05,2.56
wa,2022-11-05,1.74
wi,2022-11-05,2.15
wv,2022-11-05,1.82
wy,2022-11-05,2.99
ak,2022-11-12,1.63
al,2022-11-12,0.97
ar,2022-11-12,0.95
az,2022-11-12,3.92
ca,2022-11-12,1.56
co,2022-11-12,3.13
ct,2022-11-12,2.31
dc,2022-11-12,1.7
de,2022-11-12,1.65
fl,2022-11-12,1.23
ga,2022-11-12,0.67
hi,2022-11-12,2.17
ia,2022-11-12,2.36
id,2022-11-12,2.18
il,2022-11-12,2.29
in,2022-11-12,2.07
ks,2022-11-12,2.01
ky,2022-11-12,1.83
la,2022-11-12,0.9
ma,2022-11-12,2.15
md,2022-11-12,2.06
me,2022-11-12,1.97
mi,2022-11-12,2.34
mn,2022-11-12,2.37
ms,2022-11-12,0.73
mt,2022-11-12,2.14
nc,2022-11-12,1.55
nd,2022-11-12,2.99
ne,2022-11-12,2.06
nh,2022-11-12,1.96
nj,2022-11-12,2.15
nm,2022-11-12,4.6
nv,2022-11-12,2.14
ny,2022-11-12,2.08
oh,2022-11-12,1.84
ok,2022-11-12,1.14
or,2022-11-12,2.02
pa,2022-11-12,1.85
ri,2022-11-12,1.58
sc,2022-11-12,1.16
sd,2022-11-12,2.02
tn,2022-11-12,1.28
tx,2022-11-12,0.79
ut,2022-11-12,3.32
va,2022-11-12,1.56
vt,2022-11-12,2.42
wa,2022-11-12,1.86
wi,2022-11-12,1.83
wv,2022-11-12,1.77
wy,2022-11-12,2.4
ak,2022-11-19,1.56
al,2022-11-19,0.98
ar,2022-11-19,0.79
az,2022-11-19,4.9
ca,2022-11-19,1.79
co,2022-11-19,3.47
ct,2022-11-19,2.2
dc,2022-11-19,2.09
de,2022-11-19,1.33
fl,2022-11-19,1.24
ga,2022-11-19,0.64
hi,2022-11-19,2.19
ia,2022-11-19,2.76
id,2022-11-19,2.35
il,2022-11-19,2.41
in,2022-11-19,2.07
ks,2022-11-19,1.95
ky,2022-11-19,1.65
la,2022-11-19,0.94
ma,2022-11-19,2.06
md,2022-11-19,1.96
me,2022-11-19,1.63
mi,2022-11-19,2.31
mn,2022-11-19,2.66
ms,2022-11-19,0.87
mt,2022-11-19,2.27
nc,2022-11-19,1.43
nd,2022-11-19,2.6
ne,2022-11-19,2.34
nh,2022-11-19,1.57
nj,2022-11-19,1.96
nm,2022-11-19,5.09
nv,2022-11-19,2.48
ny,2022-11-19,2.01
oh,2022-11-19,1.91
ok,2022-11-19,1.29
or,2022-11-19,2.17
pa,2022-11-19,1.57
ri,2022-11-19,1.64
sc,2022-11-19,1.17
sd,2022-11-19,1.78
tn,2022-11-19,1.27
tx,2022-11-19,1.02
ut,2022-11-19,3.66
va,2022-11-19,1.68
vt,2022-11-19,1.81
wa,2022-11-19,2.02
wi,2022-11-19,1.77
wv,2022-11-19,1.6
wy,2022-11-19,3.5
ak,2022-11-26,1.78
al,2022-11-26,1.45
ar,2022-11-26,1.42
az,2022-11-26,6.12
ca,2022-11-26,2.6
co,2022-11-26,3.72
ct,2022-11-26,2.52
dc,2022-11-26,2.51
de,2022-11-26,2.12
fl,2022-11-26,1.59
ga,2022-11-26,1.07
hi,2022-11-26,2.2
ia,2022-11-26,2.88
id,2022-11-26,3.24
il,2022-11-26,3.02
in,2022-11-26,2.8
ks,2022-11-26,2.4
ky,2022-11-26,2.24
la,2022-11-26,1.76
ma,2022-11-26,2.52
md,2022-11-26,2.24
me,2022-11-26,1.93
mi,2022-11-26,2.51
mn,2022-11-26,2.13
ms,2022-11-26,1.43
mt,2022-11-26,2.66
nc,2022-11-26,1.87
nd,2022-11-26,3.61
ne,2022-11-26,3.11
nh,2022-11-26,1.78
nj,2022-11-26,2.21
nm,2022-11-26,5.46
nv,2022-11-26,2.97
ny,2022-11-26,2.41
oh,2022-11-26,2.34
ok,2022-11-26,2.11
or,2022-11-26,2.78
pa,2022-11-26,1.85
ri,2022-11-26,1.97
sc,2022-11-26,1.67
sd,2022-11-26,1.95
tn,2022-11-26,1.75
tx,2022-11-26,1.7
ut,2022-11-26,3.99
va,2022-11-26,2.1
vt,2022-11-26,2.13
wa,2022-11-26,2.65
wi,2022-11-26,2.29
wv,2022-11-26,1.91
wy,2022-11-26,4.02
ak,2022-12-03,1.43
al,2022-12-03,2.13
ar,2022-12-03,1.76
az,2022-12-03,5.8
ca,2022-12-03,3.2
co,2022-12-03,3.53
ct,2022-12-03,3.21
dc,2022-12-03,2.58
de,2022-12-03,2.27
fl,2022-12-03,1.91
ga,2022-12-03,1.34
hi,2022-12-03,2.27
ia,2022-12-03,3.58
id,2022-12-03,3.05
il,2022-12-03,3.61
in,2022-12-03,3.52
ks,2022-12-03,2.89
ky,2022-12-03,2.33
la,2022-12-03,1.95
ma,2022-12-03,3.1
md,2022-12-03,2.92
me,2022-12-03,2.08
mi,2022-12-03,2.98
mn,2022-12-03,2.6
ms,2022-12-03,2.04
mt,2022-12-03,2.61
nc,2022-12-03,2.23
nd,2022-12-03,3.87
ne,2022-12-03,3.62
nh,2022-12-03,2.16
nj,2022-12-03,2.66
nm,2022-12-03,4.56
nv,2022-12-03,2.87
ny,2022-12-03,2.68
oh,2022-12-03,2.85
ok,2022-12-03,2.66
or,2022-12-03,2.97
pa,2022-12-03,2.14
ri,2022-12-03,2.42
sc,2022-12-03,2.49
sd,2022-12-03,1.66
tn,2022-12-03,2.14
tx,2022-12-03,2.1
ut,2022-12-03,4.57
va,2022-12-03,2.67
vt,2022-12-03,2.84
wa,2022-12-03,2.84
wi,2022-12-03,2.38
wv,2022-12-03,1.86
wy,2022-12-03,3.43
ak,2022-12-10,1.67
al,2022-12-10,2.35
ar,2022-12-10,1.91
az,2022-12-10,5.14
ca,2022-12-10,3.08
co,2022-12-10,3.05
ct,2022-12-10,3.36
dc,2022-12-10,3.34
de,2022-12-10,2.47
fl,2022-12-10,2.08
ga,2022-12-10,1.67
hi,2022-12-10,2.76
ia,2022-12-10,3.33
id,2022-12-10,2.53
il,2022-12-10,3.75
in,2022-12-10,3.63
ks,2022-12-10,2.98
ky,2022-12-10,2.46
la,2022-12-10,2.09
ma,2022-12-10,3.47
md,2022-12-10,3.28
me,2022-12-10,2.18
mi,2022-12-10,3.07
mn,2022-12-10,2.73
ms,2022-12-10,2.13
mt,2022-12-10,2.85
nc,2022-12-10,2.86
nd,2022-12-10,3.25
ne,2022-12-10,3.13
nh,2022-12-10,2.2
nj,2022-12-10,3.01
nm,2022-12-10,4.07
nv,2022-12-10,2.62
ny,2022-12-10,2.77
oh,2022-12-10,2.93
ok,2022-12-10,2.91
or,2022-12-10,2.87
pa,2022-12-10,2.26
ri,2022-12-10,2.61
sc,2022-12-10,2.91
sd,2022-12-10,1.62
tn,2022-12-10,2.52
tx,2022-12-10,2.39
ut,2022-12-10,3.82
va,2022-12-10,3.07
