geo_value,time_value,weekly_hosp,weekly_admits_p100K
az,2020-11-20,1621,22.270408370046535
ca,2020-11-20,4903,12.408818405383064
co,2020-11-20,1854,32.19456491841265
ct,2020-11-20,694,19.4654736070336
dc,2020-11-20,134,18.986920279022712
de,2020-11-20,161,16.533780258871758
fl,2020-11-20,3660,17.040901469274907
ga,2020-11-20,2566,24.167823020708507
hi,2020-11-20,58,4.0964154951860055
ia,2020-11-20,1563,49.53931291540283
id,2020-11-20,381,21.319873647572976
il,2020-11-20,4541,35.83541781406161
in,2020-11-20,2504,37.194274280144484
ks,2020-11-20,1257,43.14673941772154
ky,2020-11-20,2542,56.8976288103449
la,2020-11-20,1020,21.941174420720728
ma,2020-11-20,879,12.752986832214653
md,2020-11-20,1233,20.39472813645446
me,2020-11-20,102,7.58808878361449
mi,2020-11-20,3130,31.34119172828849
mn,2020-11-20,1676,29.71825111993123
mo,2020-11-20,2430,39.593132497847634
ms,2020-11-20,827,27.787587247815885
mt,2020-11-20,601,56.23244490436742
nc,2020-11-20,1450,13.825213451761066
nd,2020-11-20,425,55.76974051980022
ne,2020-11-20,952,49.21402310164143
nh,2020-11-20,88,6.471963527543721
nj,2020-11-20,2235,25.16271324977286
nm,2020-11-20,864,41.20507680883849
nv,2020-11-20,975,31.654240889097828
ny,2020-11-20,3039,15.621818545201055
oh,2020-11-20,4305,36.829182742897224
ok,2020-11-20,2285,57.7461902045782
or,2020-11-20,352,8.345707662663651
pa,2020-11-20,3300,25.77724445787291
ri,2020-11-20,178,16.802581933826147
sc,2020-11-20,577,11.206681901538909
sd,2020-11-20,504,56.97110412034468
tn,2020-11-20,1848,27.060373626444427
tx,2020-11-20,8374,28.879964019717143
us,2020-11-20,81659,24.87786944535622
ut,2020-11-20,646,20.149983249936525
va,2020-11-20,919,10.76677352601523
vt,2020-11-20,20,3.20518470678169
wa,2020-11-20,600,7.879296531152835
wi,2020-11-20,3371,57.896749022831344
wv,2020-11-20,373,20.813024824414516
wy,2020-11-20,255,44.05978999894602
ak,2020-11-21,131,17.90730577066346
al,2020-11-21,1387,28.28773542095597
ar,2020-11-21,945,31.314160893152767
az,2020-11-21,1699,23.342025799326997
ca,2020-11-21,5147,13.02634883387857
co,2020-11-21,1858,32.26402460539952
ct,2020-11-21,695,19.493521839896758
dc,2020-11-21,134,18.986920279022712
de,2020-11-21,161,16.533780258871758
fl,2020-11-21,3785,17.62289947027473
ga,2020-11-21,2627,24.742350380125195
hi,2020-11-21,48,3.390136961533246
ia,2020-11-21,1445,45.79930080790601
id,2020-11-21,388,21.711577362882718
il,2020-11-21,4475,35.31457712352471
in,2020-11-21,2479,36.82292569507914
ks,2020-11-21,1238,42.49456117672177
ky,2020-11-21,2516,56.31567037247355
la,2020-11-21,1059,22.78010167798358
ma,2020-11-21,911,13.217259390384015
md,2020-11-21,1282,21.205224226224345
me,2020-11-21,100,7.4393027290338125
mi,2020-11-21,3143,31.471362812144
mn,2020-11-21,1660,29.43454466532568
mo,2020-11-21,2403,39.153208803427106
